PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40720955,"Prognostic Factor Research in Homeopathy: Overview of the Method, with Insights from Condition-Confined Studies.",2025,Anjali Miglani; Lex Rutten,"Directorate of AYUSH, Health and Family Welfare Department, Government of National Capital Territory of Delhi, New Delhi, India.; Independent Practitioner, Breda, The Netherlands.",
40720942,Interleukin-6 removal and clinical effects of Oxiris: a systematic review and meta-analysis.,2025,Arnau Ulsamer; Diego Pomare Montin; Vittorio Bocciero; Tania Julieth Parra Morales; Lorenzo Tofani; Luca Di Girolamo; Stefano Romagnoli; Gianluca Villa; Matteo Cecchi,; ; ; ; ; ; ; ; ,
40717177,The evolution of consultation practices with general practitioners and nephrologists for patients with chronic kidney disease before and after the COVID-19 pandemic in France.,2025,Juliette Piveteau; Sahar Bayat; Cécile Couchoud,"EHESP, CNRS, Inserm, Arènes-UMR 6051, RSMS, U1309, Univ Rennes, Rennes, France.; EHESP, CNRS, Inserm, Arènes-UMR 6051, RSMS, U1309, Univ Rennes, Rennes, France.; Renal Epidemiology and Information Network (REIN) Registry, Biomedicine Agency, Saint-Denis-La-Plaine, France.",maxime.raffray@ki.se.
40717127,Influencing factors of early neurological deterioration in COVID-19 -associated acute ischemic stroke.,2025,Lin Tao,"Disease Prevention and Control Center of Huaxi District, Guiyang City, Guizhou Province, China.",jack_w_szy@163.com.
40717099,Critical illness in immunocompromised patients: insights into relapse or persistent severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2): case series report.,2025,Juan Felipe Llano; Erwin Camacho,"Clínica Medellín-Grupo Quirónsalud, Medellín, Colombia.; Research and Development Department, VaxThera, Medellin, Colombia.",jorge.osorio@wisc.edu.
40717071,Production of SARS-CoV-2 virus-like particles as a vaccine candidate in stable cell lines through inducible E and M protein expression.,2025,Zhaoyue Zheng; JingYa Ye,"Sichuan Real & Best Biotech Co., Ltd, Chengdu, China.; Sichuan Real & Best Biotech Co., Ltd, Chengdu, China.",ahyeechy@gmail.com.
40716790,Triaging colorectal urgent referrals in the COVID-19 era using faecal immunochemical testing: a prospective UK real-world multicentre cohort study.,2025,Gareth Walker; Joel Bowen; Nedal Debab; Robert Bethune; William Faux; Naomi Spencer; Venla Kantola; Mark Feeney; Sally Ward-Booth; Timothy McDonald; Iain Bain; John Renninson; Nicholas A Kennedy; Mark Cartmell,"Gastroenterology, Royal Brisbane and Women's Hospital, Brisbane, Queensland, Australia Gareth.Walker@health.qld.gov.au.; Colorectal Surgery, Torbay and South Devon NHS Foundation Trust, Torquay, UK.; Colorectal Surgery, Torbay and South Devon NHS Foundation Trust, Torquay, UK.; Colorectal Surgery, Royal Devon and Exeter NHS Foundation Trust, Exeter, UK.; Colorectal Surgery, Royal Cornwall Hospitals NHS Trust, Truro, UK.; Colorectal Surgery, Royal Devon and Exeter NHS Foundation Trust, Exeter, UK.; Colorectal Surgery, Royal Devon and Exeter NHS Foundation Trust, Exeter, UK.; Gastroenterology, Torbay and South Devon NHS Foundation Trust, Torquay, UK.; Colorectal Surgery, Torbay and South Devon NHS Foundation Trust, Torquay, UK.; The Exeter Blood Sciences Laboratory, Royal Devon and Exeter NHS Foundation Trust, Exeter, UK.; North Devon District Hospital, Barnstaple, UK.; Peninsula Cancer Alliance, Dartington, UK.; Gastroenterology, Royal Devon and Exeter NHS Foundation Trust, Exeter, UK.; Colorectal Surgery, North Devon District Hospital, Barnstaple, UK.",Gareth.Walker@health.qld.gov.au.
40716604,Antifungal Concentrations in Mechanically Ventilated COVID-19 Patients With or Without ECMO: The CAPADOSE observational retrospective multicenter Study.,2025,Anne Veinstein; Luc Haudebourg; Julien Dessajan; Mathieu Lesouhaitier; Charles Verney; Juliette Chommeloux; Elise Cuquemelle; Nicolas Dognon; Jean Christophe Richard; Damien Du Cheyron; Sophie Jacquier; Arnaud W Thille,"CHU de Poitiers, Médecine Intensive-Réanimation, F-86000 Poitiers, France.; Department of Medical and Toxicological Critical Care, Lariboisière Hospital, AP-HP 2 Rue Ambroise Paré, Paris 75010, France.; Medical and Infectious Diseases Intensive Care Unit (MI2), Bichat Hospital, AP-HP, Paris, France.; Service de Réanimation Médicale, CHU Rennes, Rennes, France.; Médecine Intensive Réanimation, AP-HP, Hôpital Louis Mourier, DMU ESPRIT, 92700 Colombes, France.; Medical Intensive Care Unit, Pité-Salpêtrière Hospital, Assistance Publique-Hôpitaux de Paris, Paris, France.; Thoracic Intensive Care Unit, Hôpital Foch, 40 rue Worth, 92150 Suresnes, France.; Department of Intensive Care Medicine, Critical Care Centre, CHU Lille, F-59000 Lille, France.; Service de Médecine Intensive Réanimation, Hôpital de la Croix-Rousse, Hospices Civils de Lyon, Lyon France.; Service de Médecine Intensive - Réanimation, CHU de Caen, 14000 Caen, France.; Médecine Intensive-Réanimation, CHU Tours, Tours, France.; CHU de Poitiers, Médecine Intensive-Réanimation, F-86000 Poitiers, France.",paul.masi@aphp.fr.
40716578,Beyond the limits of conventional 'endpoint' ELISA and rescuing the signal with lag k-ELISA.,2025,Samreen Ijaz,"Blood Borne Virus Unit, UK Health Security Agency, London, UK.",k.katsanovskaja@imperial.ac.uk.
40716470,Corticosteroid Prednisolone and Flavonoid Chrysin as Drug Candidates against SARS-CoV-2 Replication: Computational and Experimental Findings.,2025,Sudhanshu Vrati; Dharmender Gupta,"Laboratory of Virology, Regional Centre for Biotechnology, NCR Biotech Science Cluster, Faridabad 121004, India.; Laboratory of Virology, Regional Centre for Biotechnology, NCR Biotech Science Cluster, Faridabad 121004, India.",krishna.inampudi@aiims.edu.
40716145,"Parental attitudes, beliefs, and experiences related to pediatric COVID-19 vaccination.",2025,Yoonjae Kang; Fan Zhang; Tara M Vogt,"Immunization Services Division, National Center for Immunization and Respiratory Diseases, Centers for Disease Control and Prevention, Atlanta, GA, USA. Electronic address: wsp9@cdc.gov.; Immunization Services Division, National Center for Immunization and Respiratory Diseases, Centers for Disease Control and Prevention, Atlanta, GA, USA.; Immunization Services Division, National Center for Immunization and Respiratory Diseases, Centers for Disease Control and Prevention, Atlanta, GA, USA.",wsp9@cdc.gov.
40716144,Longitudinal Meta-cohort study protocol using systems biology to identify vaccine safety biomarkers.,2025,Ana C Chang; Meagan Karoly; Annmarie Hoch; Kerry McEnaney; Tahir S Kafil; Mahitha Donthireddy; Sarah K Steltz; Dale Nordenberg; Inna G Ovsyannikova; Richard B Kennedy; Gregory A Poland; Robert T Chen,"Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Department of Cardiovascular Medicine, Mayo Clinic, Rochester, MN 55905, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Thriive, Bronx, NY, USA; Safety Platform for Emergency vACcines (SPEAC), Brighton Collaboration, The Task Force for Global Health, Decatur, GA 30030, USA.; Vaccine Research Group, Division of General Internal Medicine, Mayo Clinic, Rochester, MN 55905, USA.; Vaccine Research Group, Division of General Internal Medicine, Mayo Clinic, Rochester, MN 55905, USA.; Vaccine Research Group, Division of General Internal Medicine, Mayo Clinic, Rochester, MN 55905, USA.; Brighton Collaboration, Task Force for Global Health, Decatur, GA 30030, USA.",joann.arce@childrens.harvard.edu.
40716143,Tinnitus risk after COVID-19 XBB.1.5 vaccination: A self-controlled case series study.,2025,Lina S Sy; Vennis Hong; Lei Qian; Kimberly J Holmquist; Bing Han,"Department of Research & Evaluation, Kaiser Permanente Southern California, Pasadena, CA, USA.; Department of Research & Evaluation, Kaiser Permanente Southern California, Pasadena, CA, USA.; Department of Research & Evaluation, Kaiser Permanente Southern California, Pasadena, CA, USA.; Department of Research & Evaluation, Kaiser Permanente Southern California, Pasadena, CA, USA.; Department of Research & Evaluation, Kaiser Permanente Southern California, Pasadena, CA, USA.",Stan.Xu@kp.org.
40716100,People Versus Product: Conditions for Success for Community Health Workers as Sustainable Members of the Public Health Workforce.,2025,Patricia J Cantero; Noraima Chirinos; Rocio Salazar; Mary Anne Foo; Samantha Peralta; Gloria I Montiel,Latino Health Access.; Latino Health Access.; Latino Health Access.; Orange County Asian and Pacific Islander Community Alliance.; Orange County Asian and Pacific Islander Community Alliance.; AltaMed Health Services.,
40716082,"Norovirus Epidemiology 2017-2023: Before, During, and After the COVID-19 Pandemic.",2025,Cristina Celma; Stuart Beard,"Enteric Virus Unit, Public Health Microbiology, UK Health Security Agency, London, UK.; Enteric Virus Unit, Public Health Microbiology, UK Health Security Agency, London, UK.",
40716013,Vaccination in Multiple Myeloma: Challenges and Strategies.,2025,Enrica Antonia Martino; Ernesto Vigna; Antonella Bruzzese; Eugenio Lucia; Virginia Olivito; Caterina Labanca; Santino Caserta; Francesco Mendicino; Fortunato Morabito; Massimo Gentile,"Hematology Unit, Department of Onco-Hematology, Cosenza, Italy.; Hematology Unit, Department of Onco-Hematology, Cosenza, Italy.; Hematology Unit, Department of Onco-Hematology, Cosenza, Italy.; Hematology Unit, Department of Onco-Hematology, Cosenza, Italy.; Hematology Unit, Department of Onco-Hematology, Cosenza, Italy.; Hematology Unit, Department of Onco-Hematology, Cosenza, Italy.; Hematology Unit, Department of Onco-Hematology, Cosenza, Italy.; Hematology Unit, Department of Onco-Hematology, Cosenza, Italy.; AIL Sezione di Cosenza, Cosenza, Italy.; Hematology Unit, Department of Onco-Hematology, Cosenza, Italy.",
40716008,No room at the inn: pediatric psychiatric patients wait far longer for inpatient beds than their non-psychiatric counterparts; evidence of structural stigma.,2025,Xiaoming Wang; Zoe Hsu,"Provincial Research Data Services, Alberta Health Services, Edmonton, AB, Canada.; Provincial Research Data Services, Alberta Health Services, Edmonton, AB, Canada.",cchisho1@ualberta.ca.
40720880,Concordance Between Survey and Electronic Health Record Data in the COVID-19 Citizen Science Study: Retrospective Cohort Analysis.,2025,Djeneba Audrey Djibo; Alan F Kaul,"Safety, Surveillance, and Collaboration, CVS Health, Blue Bell, PA, United States.; Medical Outcomes Management, Inc., Sharon, MA, United States.",
40720866,Reemergence of Mycoplasma pneumoniae in Post-COVID-19 Japan: A 2024 Outbreak in Hokkaido After 5 Years.,2025,Tomohiro Nawa; Nana Kushima; Takahiro Maeda; Jun Kunizaki; Noritaka Shintani; Kouhei Nishino; Toshitaka Kizawa; Dai Yamamoto; Yoshiyuki Iizuka; Yuta Sasaoka; Masayoshi Kikuchi; Takuro Ito; Kazushige Nagai; Hirofumi Asakura; Yui Ito; Masaki Yoshida; Seiji Kobayashi,"Department of Pediatric Cardiology and Pediatric Intensive Care, Hokkaido Medical Center for Child Health and Rehabilitation, Sapporo, Japan.; Department of Pediatrics, Iwamizawa Municipal General Hospital, Hokkaido, Japan.; Department of Pediatrics, Japan Red Cross Urakawa Hospital, Hokkaido, Japan.; Department of Pediatrics, NTT EC Sapporo Medical Center, Sapporo, Japan.; Department of Pediatrics, Otaru Kyokai Hospital, Hokkaido, Japan.; Department of Pediatrics, National Hospital Organization Hokkaido Medical Center, Sapporo, Japan.; Department of Pediatrics, Japan Community Health Care Organization Sapporo Hokushin Hospital, Sapporo, Japan.; Department of Pediatrics, Kushiro City General Hospital, Hokkaido, Japan.; Department of Pediatrics, Nemuro City Hospital, Hokkaido, Japan.; Department of Pediatrics, Hakodate Municipal Hospital, Hokkaido, Japan.; Department of Pediatrics, Sunagawa City Medical Center, Hokkaido, Japan.; Department of Pediatrics, Steel Memorial Muroran Hospital, Hokkaido, Japan.; Department of Pediatrics, Takikawa Municipal Hospital, Hokkaido, Japan.; Department of Pediatrics, Hokkaido Esashi Hospital, Hokkaido, Japan.; Department of Pediatrics, Tomakomai City Hospital, Hokkaido, Japan.; Department of Pediatrics, Yakumo General Hospital, Hokkaido, Japan.; Department of Pediatrics, Rumoi City Hospital, Hokkaido, Japan.",
40720861,"Characteristics, Prevalence and Risk Factors of Neurologic Manifestations in Hospitalized Children Diagnosed With Acute SARS-CoV-2 and MIS-C in Indonesia.",2025,Anna Tjandrajani; Dedi Ria Saputra,"Department of Child Health, Harapan Kita Woman and Children Hospital, Jakarta, Indonesia.; Department of Child Health, Fatmawati Hospital, Jakarta, Indonesia.",
40720834,Social Determinants of Health and Risk for Long COVID in the U.S. RECOVER-Adult Cohort.,2025,Leah Santacroce; Rachel Atchley-Challenner; Mark P Goldberg; Judd Shellito; Brittany D Taylor; Emily Taylor; Lisa Aponte-Soto; Alexandria M Duven; Janice John; Elijah Kindred; Tony Minor; Janet M Mullington; Johana M Rosas; Cheryl R Clark,"Division of Rheumatology, Inflammation and Immunity, Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts (L.S.).; Biostatistics, Massachusetts General Hospital, Boston, Massachusetts (R.A.-C.).; Neurology, UT Health San Antonio, San Antonio, Texas (M.P.G.).; Division of Pulmonary, Critical Care, Allergy and Immunology, LSU Health Services Center, New Orleans, Louisiana (J.S.).; Division of Health Strategies, Community Impact, American Heart Association, Atlanta, Georgia (B.D.T.).; Solve M.E., Los Angeles, California (E.T.).; Illinois Research Network (ILLInet) and Illinois Unidos, Chicago, Illinois (L.A.-S.).; Medical & Surgical Specialties Research, Providence Swedish Medical Center, Seattle, Washington (A.M.D.).; Primary Care, Family Medicine, Cambridge Health Alliance, Boston, Massachusetts (J.J.).; Illinois Research Network (ILLInet) and Bright Star Community Outreach, Chicago, Illinois (E.K.).; Faith Communities Outreach, Metro Health System, Cleveland, Ohio (T.M.).; Department of Neurology, Beth Israel Deaconess Medical Center, Boston, Massachusetts (J.M.M.).; Population Health, Department of Medicine, NYU Langone Health, New York, New York (J.M.R.).; Division of General Internal Medicine and Primary Care, Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts (C.R.C.).",
40720824,Population-Based Digital Health Interventions to Deliver at-Home COVID-19 Testing: SCALE-UP II Randomized Clinical Trial.,2025,Shlisa Hughes; Alan Pruhs; Courtney Pariera Dinkins,"Association for Utah Community Health, Salt Lake City, UT, United States.; Association for Utah Community Health, Salt Lake City, UT, United States.; Association for Utah Community Health, Salt Lake City, UT, United States.",
40720792,Hyaluronan Ameliorates Viral Pneumonia in Mice and Humans by Inhibiting E2F1 Transcription Factor.,2025,Flavia Galdi; Daniel J Zaccaro; Jane S Der; Claudio Pedone; Raffaele Antonelli-Incalzi,"2 Operative Research Unit of Internal Medicine, Fondazione Policlinico Campus Bio-Medico, Rome, Italy, Rome, Italy.; 7 Social & Scientific Systems, Inc., a DLH Holdings Corp. company, Durham, United States.; 7 Social & Scientific Systems, Inc., a DLH Holdings Corp. company, Durham, United States.; 16 Operative Research Unit of Geriatrics, Fondazione Policlinico Campus Bio-Medico, Rome, Rome, Italy.; 17 Operative Research Unit of Internal Medicine, Fondazione Policlinico Campus Bio-Medico, Rome, Italy.",garantziotis@niehs.nih.gov.
40720610,Structured vs Self-Guided Multidomain Lifestyle Interventions for Global Cognitive Function: The US POINTER Randomized Clinical Trial.,2025,Heather M Snyder; Kathryn V Papp; Ashley S Alexander; Susan Antkowiak; Claire Day; Richard Elbein; Katherine Lambert; Olivia Matongo; Anne Marie McDonald; Maria C Carrillo,"Division of Medical and Scientific Relations, Alzheimer's Association, Chicago, Illinois.; Department of Neurology, Brigham and Women's Hospital, Boston, Massachusetts.; Kelsey Research Foundation, Houston, Texas.; Rhode Island Chapter, Alzheimer's Association, Providence.; Northern California and Northern Nevada Chapter, Alzheimer's Association, San Jose.; Houston and Southeast Texas Chapter, Alzheimer's Association, Houston.; Western Carolina Chapter, Alzheimer's Association, Charlotte, North Carolina.; Illinois Chapter, Alzheimer's Association, Chicago.; Houston and Southeast Texas Chapter, Alzheimer's Association, Houston.; Division of Medical and Scientific Relations, Alzheimer's Association, Chicago, Illinois.",
40720588,Cardiac Surgery during and after the Pandemic: A Retrospective Analysis of UK Trends and Outcomes.,2025,Norman Briffa,"Sheffield Teaching Hospitals Cardiothoracic Surgery Department, Sheffield, UK.",
40720459,Could serum intestinal fatty acid-binding protein and citrulline levels be predictive markers of mortality in critically ill COVID-19 patients?,2025,Sevda Onuk; Esma Eryilmaz Eren; Hilal Sipahioglu,"Department of Intensive Care Unit, Kayseri City Training and Research Hospital, Kayseri, Turkey.; Department of Infectious Disease, Kayseri City Training and Research Hospital, Kayseri, Turkey.; Department of Intensive Care Unit, Kayseri City Training and Research Hospital, Kayseri, Turkey.",
